titulo,ano,mes,categoria,sinopse,english,imagem1,imagem2,imagem3,imagem4,externo,link
Wear-us,2016,dez,criação e mentoria,"Design Sprint para elaboração e execução de um vestível inteligente. Durante o processo o grupo optou por criar um dispositivo para a performance de uma drag queen de modo que fosse possível deformar o corpo pressionando o corpo e criando partes infladas. O material de prototipagem incluiu tecido, linha condutiva e outros materiais condutivos flexíveis.","Design Sprint for making and executing a smart dress. During the process the group chose to create a device for the performance of a drag queen so that it could deform the body by pressing the body and creating inflated parts. The prototyping material included fabric, conductive line and other flexible conductive materials.",wearus/wearus-1,wearus/wearus-2,wearus/wearus-3,wearus/wearus-4,http://www.wearus.co/,wearus
Hacking Arts,2016,nov,mentoria,"Hacking Arts é um evento do MIT em Boston voltado ao desenvolvimento de protótipos voltado ao mercado da arte e tecnologia. Consiste em uma conferência e um hackathon, uma maratona de desenvolvimento.","Hacking Arts is an MIT event in Boston dedicated to the development of prototypes aimed at the art and technology market. It consists of a conference and a hackathon, a development marathon.",hackingarts/hackingarts-1,hackingarts/hackingarts-2,hackingarts/hackingarts-3,hackingarts/hackingarts-4,http://hackingarts.com/,hackingarts
Wear Brasil,2016,nov,mentoria,Evento com palestras e workshops voltado ao tema do vestível inteligente.,Event with lectures and workshops focused on the theme of intelligent wearable.,wearbrasil/wearbrasil-1,wearbrasil/wearbrasil-2,wearbrasil/wearbrasil-3,wearbrasil/wearbrasil-4,#,wearbrasil
Interactivos?16 - Água e Autonomia,2016,nov,mentoria,Residência de 3 semanas na Serrinha do Alambarí-RJ para o desenvolvimento de 5 projetos para a localidade tendo o tema da água como linha mestre.,Technical Director of the residence of 3 weeks in Serrinha do Alambarí-RJ for the development of 5 projects for the locality having the theme of water as master line.,interactivos16/interactivos16-1,interactivos16/interactivos16-2,interactivos16/interactivos16-3,interactivos16/interactivos16-4,http://interactivos16.info/,interactivos16
FAZ - Festival de Cultura Maker,2016,out,mentoria,"Festival que reuniu os espaços makers de São Paulo (Garoa Hacker Clube, OficinaLab, Garagem FabLab, Lilo.Zone, RFLB, Sagui, RedBull Basement) durante dois dias com workshops, palestras e apresentação de protótipos.","Festival that brought together the space makers of São Paulo (Garoa Hacker Club, OficinaLab, FabLab Garage, Lilo.Zone, RFLB, Sagui, RedBull Basement) for two days with workshops, lectures and presentation of prototypes.",fazfestival/fazfestival-1,fazfestival/fazfestival-2,fazfestival/fazfestival-3,fazfestival/fazfestival-4,#,fazfestival
Touch Skin,2016,out,criação e experimentação,"Uma tatuagem temporária condutiva que ativa luzes ao longo do corpo. A pesquisa focou nas possibilidades de tintas com diversos materiais, caseiros e de laboratório para executar a tatuagem. Projeto em colaboração com Rita Wu dentro da Residência Artística e Científica do MediaLab/UFG.","A temporary conductive tattoo that activates lights along the body. The research focused on the possibilities of paints with various materials, home and laboratory to perform the tattoo. Project in collaboration with Rita Wu within the Artistic and Scientific Residence of MediaLab / UFG.",touchskin/touchskin-1,touchskin/touchskin-2,touchskin/touchskin-3,touchskin/touchskin-4,http://www.touchskin.me/,touchskin
[SW EDU] Bootcamp 1,2016,set,mediação,Debate Aberto com Educadores e Debate Aberto com Startups de Educação.,Open Debate with Educators and Open Debate with Education Startups.,bootcamp1/bootcamp1-1,bootcamp1/bootcamp1-2,bootcamp1/bootcamp1-3,bootcamp1/bootcamp1-4,https://www.sympla.com.br/bootcamp-desafios-da-educacao---startup-weekend-educacao-sp-2016__90947,bootcamp1
Balanços InterAfetivos,2016,set,intervenção e instalação interativa,Mobiliário urbano interativo que se acende ao toque. Desenvolvido em parceria com Giovanna Casimiro dentro da Residência Hacker do RedBull Basement com o tema Tecnologia e Cidade.,Interactive urban furniture that lights up by the touch. Developed in partnership with Giovanna Casimiro within the RedBull Basement Hacker Residency with the theme Technology and City.,interafetivos/interafetivos-1,interafetivos/interafetivos-2,interafetivos/interafetivos-3,interafetivos/interafetivos-4,http://interafetivos.info/,interafetivos
Festival Móveis Convida,2016,set,videomapping e interatividade,Instalação com projeção mapeada (videomapping) durante o Festival Móveis Convida. Em parceria com Lucas de Sordi.,Installation with projection mapping (videomapping) during the Festival Mobile Calls. In partnership with Lucas de Sordi.,moveisconvida/moveisconvida-1,moveisconvida/moveisconvida-2,moveisconvida/moveisconvida-3,moveisconvida/moveisconvida-4,#,moveisconvida
Mesa Cyborg,2016,ago,mentoria,Prototipação de próteses dentárias com comunicação sem fio (morse) acoplados ao corpo dos ciborgues Neil Harbisson e Moon Ribas.,Prototyping of dental prostheses with wireless communication (morse) coupled to the body of cyborgs Neil Harbisson and Moon Ribas.,cyborg/cyborg-1,cyborg/cyborg-2,cyborg/cyborg-3,cyborg/cyborg-4,https://mesacyborg.splashthat.com/,cyborg
"FabCity: Arte, Social, Upcycling",2016,jul,palestra,"Debate com objetivo de discutir como as tecnologias digitais criativas dialogam com as contradições contemporâneas e podem promover transformações sociais, culturais e ambientais.","Debate in order to discuss how the creative digital technologies dialogue with contemporary contradictions and can promote social, cultural and environmental changes.",fabcity/fabcity-1,fabcity/fabcity-2,fabcity/fabcity-3,fabcity/fabcity-4,https://www.facebook.com/events/1240908952586044/,fabcity
Vestíveis Inteligentes,2016,jul,criação e mentoria,"Série de 4 workshops para prototipação e experimentação de interfaces vestíveis. Material cortado à laser, costura com linha condutiva e programação com LilyPad (arduíno).","Series of 4 workshops for prototyping and experimenting with wearable interfaces. Material laser cut, sewing with conductive line and programming with LilyPad (arduino).",vestiveis/vestiveis-1,vestiveis/vestiveis-2,vestiveis/vestiveis-3,vestiveis/vestiveis-4,#,vestiveis
Projeto Vesica Piscis,2016,jun,instalação e performance interativa,Videocenografia com projeção mapeada com gráficos generativos derivados dos sons das músicas e do movimento dos bailarinos.,Videocenography with projection mapping with generative graphics derived from the sounds of the songs and the movement of the dancers.,vesica/vesica-1,vesica/vesica-2,vesica/vesica-3,vesica/vesica-4,http://www.mac.usp.br/mac/expos/2016/vesica/vesica.htm,vesica
The Developer Conference - São Paulo,2016,jul,curadoria e palestra,Trilha Smart Cities. Curadoria e palestra em conjunto com Jeff Prestes e Alexandre Uehara.,Smart Cities Track. Curatorship and talk together with Jeff Prestes and Alexandre Uehara.,tdc16sp/tdc16sp-1,tdc16sp/tdc16sp-2,tdc16sp/tdc16sp-3,tdc16sp/tdc16sp-4,http://www.thedevelopersconference.com.br/tdc/2016/saopaulo/trilha-smart-cities,tdc16sp
Framing Body v.2 - Virada Cultural,2016,mai,instalação interativa,Instalação interativa no qual a dança afeta e é afetada pela cinematografia. Por Cynthia Domenico.,Interactive installation in which dance affects and is affected by cinematography. By Cynthia Domenico.,fbodyvirada/fbodyvirada-1,fbodyvirada/fbodyvirada-2,fbodyvirada/fbodyvirada-3,fbodyvirada/fbodyvirada-4,http://spcultura.prefeitura.sp.gov.br/evento/25845/,fbodyvirada
PANOBIKE - Bicicultura,2016,mai,instalação interativa,Instalação interativa dentro do evento Bicicultura. O interator pode pedalar por uma versão 360 graus de São Paulo montada em glitch art. Projeto em parceria com Giovanna Casimiro e Luis Leão.,Interactive installation inside the event Biciculture. The interactor can pedal for a 360 degree version of São Paulo mounted on glitch art. Project in partnership with Giovanna Casimiro and Luis Leão.,panobike/panobike-1,panobike/panobike-2,panobike/panobike-3,panobike/panobike-4,https://bicicultura.org.br/programacao/domingo-ext-artes/,panobike
Wearables made in Brazil - Festival Path,2016,mai,palestra,Mesa para discutir a realidade do wearable e outros circuitos e interfaces vestíveis enquanto mercado e dentro do Brasil.,Table to discuss wearable reality and other wearable circuits and interfaces while marketing and within Brazil.,path/path-1,path/path-2,path/path-3,path/path-4,#,path
Construindo proto-ecologia,2016,abr,experimentação,"Encontro entre a Barlett School of Architcture (Reino Unido), o Laboratório de Modelos e Fabricação Digital (LAMO3D – FAU/UFRJ) e o Núcleo de Arte e Novos Organismos (NANO - EBA/UFRJ) com a proposta de introduzir sensores, códigos, luz e movimento para criar objetos e espaços que se relacionam com o comportamento humano.","Meeting between Barlett School of Architcture (UK), Modeling Laboratory and the Nucleus of Art and New Organisms (BR) with the proposal to introduce sensors, codes,light, and movement to create objects and spaces that relate to human behavior.",parangoledigital/parangoledigital-1,parangoledigital/parangoledigital-2,parangoledigital/parangoledigital-3,parangoledigital/parangoledigital-4,https://museudoamanha.org.br/pt-br/construindo-proto-ecologias-video-como-foi,parangoledigital
Casa de Cora,2016,abr,experimentação e instalação,Instalações multimídia no Museu Casa de Cora na Cidade de Goiás.,Multimedia installations in Cora House Museum in the City of Goiás.,casadecora/casadecora-1,casadecora/casadecora-2,casadecora/casadecora-3,casadecora/casadecora-4,https://www.medialab.ufg.br/p/16418-museu-casa-de-cora-coralina,casadecora
Mulheres na Tecnologia - FABLAB Livre SP,2016,mar,palestra,"Série de palestras, workshops e debates organizada pelo FabLab Livre SP sobre a mulher na tecnologia.","Series of lectures, workshops and debates organized by FabLab Livre SP on women in technology.",mulheresnatecnologia/mulheresnatecnologia-1,mulheresnatecnologia/mulheresnatecnologia-2,mulheresnatecnologia/mulheresnatecnologia-3,mulheresnatecnologia/mulheresnatecnologia-4,#,mulheresnatecnologia
Arduíno Day WTM,2016,mar,mentoria,"Em comemoração ao dia internacional do arduíno, a comunidade Women Tech Maker organizou uma oficina só para as mulheres da comunidade.","In celebration of the International Day of Arduino, the Women Tech Maker community has organized a workshop for women in this community.",wtmarduinoday16/wtmarduinoday16-1,wtmarduinoday16/wtmarduinoday16-2,wtmarduinoday16/wtmarduinoday16-3,wtmarduinoday16/wtmarduinoday16-4,#,wtmarduinoday16
Ocupação Red Dinámico,2016,mar,experimentação,Projeção mapeada (videomapping) em tempo real sobre estrutura com conexões fabricadas em 3D. Parceria com o Red Dinámico da Colômbia.,Projection mapping (videomapping) in real time on structure made of 3D connections. Partnership with the Dynamic Network of Colombia.,reddinamico/reddinamico-1,reddinamico/reddinamico-2,reddinamico/reddinamico-3,reddinamico/reddinamico-4,#,reddinamico
Future Day,2016,mar,palestra,Future Day – Evento Internacional idealizado pela Humanity + com o objetivo de discutir os impactos da tecnologia nos desdobramentos do ser humano do futuro.,Future Day - International Event designed by Humanity + in order to discuss the technology impact on the unfolding of the human being of the future.,futureday/futureday-1,futureday/futureday-2,futureday/futureday-3,futureday/futureday-4,#,futureday
Encontros Possíveis: Compartilhamento de Portfólio,2016,fev,palestra,"Encontros Possíveis: Compartilhamento de Portfólio - Felipe Julián, Lina Lopes, Julio de Paula, Cynthia Domênico e Fernando Timba discutem temas acerca da instalação Silêncio.","""Possible Encounters: Portfolio Sharing"" - Felipe Julián, Lina Lopes, Julio de Paula, Cynthia Domênico and Fernando Timba discuss themes about the installation Silêncio.",encontrospossiveis/encontrospossiveis-1,encontrospossiveis/encontrospossiveis-2,encontrospossiveis/encontrospossiveis-3,encontrospossiveis/encontrospossiveis-4,#,encontrospossiveis
e-motion - SENAC Santo Amaro,2015,out,palestra,"Simpósio de animação, multimídia e design do Senac Santo Amaro.","Symposium of animation, multimedia and design of Senac Santo Amaro.",emotion/emotion-1,emotion/emotion-2,emotion/emotion-3,emotion/emotion-4,#,emotion
"Luz, ciência e vida",2015,out,instalação interativa,"Intalações interativas para a Semana Nacional de Ciência e Tecnologia de Goiás com a temática do ano: Luz, ciência e vida.","Interactive installations for the National Science and Technology Week of Goiás with the theme of the year: Light, science and life.",luzcienciavida/luzcienciavida-1,luzcienciavida/luzcienciavida-2,luzcienciavida/luzcienciavida-3,luzcienciavida/luzcienciavida-4,#,luzcienciavida
La Casa Azul - Frida Kahlo,2015,out,instalação e performance interativa,Instalação interativa com projeção mapeada 360 graus (videomapping imersivo) para contação de histórias sobre Frida Kahlo durante exposição no Tomi Ohtake. Em parceria com Paulo Muggler Moreira.,Interactive installation with 360-degree mapped projection (immersive videomapping) for storytelling on Frida Kahlo during exhibition at Tomi Ohtake. In partnership with Paulo Muggler Moreira.,lacasaazul/lacasaazul-1,lacasaazul/lacasaazul-2,lacasaazul/lacasaazul-3,lacasaazul/lacasaazul-4,https://youtu.be/ulJh2_yT-XQ,lacasaazul
Matéria Estelar,2015,set,performance interativa,"Criação de livro pop-up e videocenografia para o show do CD Matéria Estelar. Em conjunto com Luis Leão, Liana Yuri, Jum Nakao, Rhaissa Bittar e Panela Produções.","Creation of a pop-up book and videocenography for the Matéria Estelar CD show. Together with Luis Leão, Liana Yuri, Jum Nakao, Rhaissa Bittar and Panela Produções.",materiaestelar/materiaestelar-1,materiaestelar/materiaestelar-2,materiaestelar/materiaestelar-3,materiaestelar/materiaestelar-4,#,materiaestelar
Framing Body v.2 - Bienal da Dança,2015,set,instalação interativa,Instalação interativa no qual a dança afeta e é afetada pela cinematografia. Por Cynthia Domenico.,Interactive installation in which dance affects and is affected by cinematography. By Cynthia Domenico.,fbodybienal/fbodybienal-1,fbodybienal/fbodybienal-2,fbodybienal/fbodybienal-3,fbodybienal/fbodybienal-4,https://www.facebook.com/framingbody/,fbodybienal
Ação Kinect,2015,ago,experimentação,Utilizando a kinect (câmera do videogame XBox) para identificar o movimento dos braços e passar os slides da apresentação em um painel de led de 3m x 2 m.,Using a kinect (video game camera XBox) to identify the movement of the arms and pass the presentation slides on a led panel of 3m x 2 m.,kinect/kinect-1,kinect/kinect-2,kinect/kinect-3,kinect/kinect-4,#,kinect
Semana da Luz,2015,ago,intervenção,Intervenção em ruas e escadarias da vila madalena utilizando light design.,Intervention in streets and stairways of the village using light design.,semanadaluz/semanadaluz-1,semanadaluz/semanadaluz-2,semanadaluz/semanadaluz-3,semanadaluz/semanadaluz-4,#,semanadaluz
Clínica da Diferença V,2015,jul,instalação e performance interativa,"O Núcleo de Pesquisa, Estágio e Extensão Clínica da Diferença, coordenado pela professora Marília Muylaert, da Unesp de Assis, promoveuo evento Clínica da Diferença V – a vida como obra de arte. O convite foi para apresentar a instalação LABinto e fazer uma performance de vj durante um número de acrobacia aérea. ","The Center for Research, Training and Clinical Extension of Difference, coordinated by Professor Marília Muylaert, from Unesp of Assis, promoted the Clinical Event of Difference V - life as a work of art. The invitation was to present the installation LABinto and perform a performance of vj during a number of aerobatics.",clinicadadiferenca/clinicadadiferenca-1,clinicadadiferenca/clinicadadiferenca-2,clinicadadiferenca/clinicadadiferenca-3,clinicadadiferenca/clinicadadiferenca-4,http://clinicadadiferencacinco.blogspot.com.br/p/programacao.html,clinicadadiferenca
Zonas de Compensação,2015,jun,palestra,"Junto com Agda Carvalho foi abordado o corpo mediado por estruturas vestíveis, materializações que podem ativar movimentos, detectar percursos e registrar comportamentos, a partir das variações projetuais articuladas com soluções tecnológicas.","Along with Agda Carvalho was the body mediated by wearable structures, materializations that can activate movements, detect pathways and register behaviors, from the projected variations articulated with technological solutions.",zonas3/zonas3-1,zonas3/zonas3-2,zonas3/zonas3-3,zonas3/zonas3-4,http://goo.gl/GQGHfQ,zonas3
O Sonho de Miró,2015,jun,performance interativa,Videocenografia para contação de história sobre o artista Miró para crianças com deficiência visual. Em parceria com Paulo Muggler Moreira.,Videocenography for storytelling about the Miró artist for visually impaired children. In partnership with Paulo Muggler Moreira.,osonhodemiro/osonhodemiro-1,osonhodemiro/osonhodemiro-2,osonhodemiro/osonhodemiro-3,osonhodemiro/osonhodemiro-4,https://www.youtube.com/watch?v=K4h1BKjYXBI,osonhodemiro
Labirinto de Areia - Desafiando a Gravidade,2015,jun,experimentação,"Desafiando a Gravidade foi um encontro organizado pelo Laboratório de Modelos e Fabricação Digital (LAMO3D – FAU/UFRJ) e Núcleo de Arte e Novos Organismos (NANO - EBA/UFRJ) para unir design paramétrico e computação física. Labirinto de Areia foi a maquete resultante do trabalho de grupo junto com Camila, Isadora, Luciano, Raquel, Thomaz.","Challenging Gravity was a meeting organized by the Laboratory of Digital Models and Manufacture (LAMO3D - FAU / UFRJ) and Nucleus of Art and New Organisms (NANO - EBA / UFRJ) to unite parametric design and physical computing. Labyrinth of Sand was the model resulting from the group work with Camila, Isadora, Luciano, Raquel, Thomaz.",labirintodeareia/labirintodeareia-1,labirintodeareia/labirintodeareia-2,labirintodeareia/labirintodeareia-3,labirintodeareia/labirintodeareia-4,#,labirintodeareia
Zonas de Compensação,2015,mai,palestra,"Os membros do grupo de estudos independente INTERFACES PARA BAILAR, criado por Lina Lopes, demonstraram alguns tipos de sensores de captura de sinais biológicos e apresentaram como a parametrização é pensada a partir da psicofisiologia. ","Members of the independent study group INTERFACES PARA BAILAR, created by Lina Lopes, demonstrated some types of biological signal capture sensors and presented how parameterization is thought from psychophysiology.",zonas2/zonas2-1,zonas2/zonas2-2,zonas2/zonas2-3,zonas2/zonas2-4,http://goo.gl/OnirD2,zonas2
Cabine de auto-depoimento,2015,mai,design de produto,Design de uma cabine de gravação para auto-depoimento. Projeto em conjunto com Luis Leão e Vina.,Design of a recording booth for self-testimony. Project in conjunction with Luis Leão and Vina.,cabine/cabine-1,cabine/cabine-2,cabine/cabine-3,cabine/cabine-4,#,cabine
Zonas de Compensação - Experimentações em Vídeo,2015,abr,palestra,Encontro para apresentar diferentes abordagens do vídeo dentro das artes a partir da abordagem de dois trabalhos anterios: LABinto e CyBaby.,Meeting to present different approaches of video within the arts from the approach of two previous works: LABinto and CyBaby.,zonas1/zonas1-1,zonas1/zonas1-2,zonas1/zonas1-3,zonas1/zonas1-4,http://goo.gl/cGE72t,zonas1
Exposição Afrolatinas,2015,mar,expografia,"Exposição multimídia com acervo do maior festival de mulheres negras da América Latina, o LATINIDADES – Festival da Mulher Afro-Latino-Americana e Caribenha.","Multimedia exhibition with the largest festival of black women in Latin America, LATINIDADES - Afro-Latin American and Caribbean Women's Festival.",afrolatinas/afrolatinas-1,afrolatinas/afrolatinas-2,afrolatinas/afrolatinas-3,afrolatinas/afrolatinas-4,#,afrolatinas
Dispensadora de M&Ms - Campus Party,2015,fev,design de produto,Criação e execução junto com Luis Leão de uma dispensadora de M&M que aciona por meio de um dado de 20cm. Produto para Campus Party de 2015.,Creation and execution together with Luis Leão of an M & M dispenser that activates by 20cm dice. Product for 2015 Campus Party.,dispensadora/dispensadora-1,dispensadora/dispensadora-2,dispensadora/dispensadora-3,dispensadora/dispensadora-4,#,dispensadora
Refraction,2014,dez,instalação interativa,Instalação para fachada de LED do Media Lab Prado (Madrid/ES) que interage com a luz da lanterna/celular do interator.,Installation for LED facade of Media Lab Prado (Madrid / ES) that interacts with the lantern / cell phone light of the interactor.,refraction/refraction-1,refraction/refraction-2,refraction/refraction-3,refraction/refraction-4,#,refraction
Cultura Inglesa à Mesa,2014,mai,videomapping,Projeção mapeada (videomapping) sobre cenografia representativa da culinária inglesa na estação de metrô República em São Paulo.,Projection Mapping (videomapping) on scenography representative of the English cuisine into the subway station República. in Sao Paulo.,culturainglesa/culturainglesa-1,culturainglesa/culturainglesa-2,culturainglesa/culturainglesa-3,culturainglesa/culturainglesa-4,#,culturainglesa
CyBaby,2014,mai,performance interativa,Capacete neural para visualização de dados de um bebê recém-nascido. Em parceria com Diana.,Neural helmet for viewing data of a newborn baby. In partnership with Diana.,cybaby/cybaby-1,cybaby/cybaby-2,cybaby/cybaby-3,cybaby/cybaby-4,#,cybaby
Uranus,2013,jun,design de produto,Colar de leds interativos que acendem a constelação de cancer quando o ambiente escurece. Produzido com corte a laser em tecido e materiais flexíveis condutivos.,Necklace of interactive leds that ignite a constellation of cancer when the environment darkens. Produced with laser cut fabric and flexible conductive materials.,uranus/uranus-1,uranus/uranus-2,uranus/uranus-3,uranus/uranus-4,https://photos.google.com/u/1/album/AF1QipPiV_GSXyalcpltZRHr1eTvTdFRFeBm9wck8OeF,uranus
LABinto - v.1.0,2013,mai,instalação interativa,Instalação Interativa em Palau Moxo no Bairro Gótico de Barcelona durante o Screen Festival/Loop Fair. O interator utiliza uma lanterna para revelar as imagens projetadas na parede. Em parceria com Paulo Muggler Moreira.,Interactive installation in Palau Moxo in the Gothic Quarter of Barcelona during the Screen Festival / Loop Fair. The interator uses a flashlight to reveal the images projected on the wall. In partnership with Paulo Muggler Moreira.,labinto1/labinto1-1,labinto1/labinto1-2,labinto1/labinto1-3,labinto1/labinto1-4,http://www.estudio-nomada.com/gallery/screen-festival-2013-video-art-route-gotico,labinto1
SEA//ME,2013,abr,intervenção,"SEA // ME é uma pequena instalação urbana para que uma ou duas pessoas contemplem a paisagem: o mar, o céu, a areia, o concreto e o movimento da rua da posição mediadora em que está, um ponto de tensão. Barras que ficam entre a natureza e as cidades. SEA // ME estabelece outro caminho possível, outras linhas possíveis, outra paisagem possível.","SEA//ME is a small architectural installation for one or two people to contemplate the landscape: the sea, the sky, the sand, the concrete and the movement of the street from the mediating position in which it stands, a point of tension, bars that stand between the nature and cities. SEA//ME establishes another possible path, other possible lines, another possible landscape.",seame/seame-1,seame/seame-2,seame/seame-3,seame/seame-4,https://www.youtube.com/watch?v=0L5HRwZiLic&t=41s,seame